,p_id,replyid,p_username,p_up,p_date,p_content
19,818666,476358,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
20,818662,476358,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
21,818615,476358,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
22,818613,476358,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
23,818600,476358,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
24,832464,476126,车质网用户3095900,0,2小时前,OK
25,818773,476126,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
26,818689,476126,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
27,818666,476126,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
28,818662,476126,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
29,818615,476126,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
30,818613,476126,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
31,818600,476126,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
32,832464,476035,车质网用户3095900,0,2小时前,OK
33,818773,476035,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
34,818689,476035,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
35,818666,476035,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
36,818662,476035,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
37,818615,476035,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
38,818613,476035,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
39,818600,476035,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
40,832464,475515,车质网用户3095900,0,2小时前,OK
41,818773,475515,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
42,818689,475515,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
43,818666,475515,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
44,818662,475515,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
45,818615,475515,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
46,818613,475515,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
47,818600,475515,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
48,832464,475424,车质网用户3095900,0,2小时前,OK
49,818773,475424,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
50,818689,475424,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
51,818666,475424,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
52,818662,475424,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
53,818615,475424,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
54,818613,475424,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
55,818600,475424,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
56,832464,475012,车质网用户3095900,0,2小时前,OK
57,818773,475012,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
58,818689,475012,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
59,818666,475012,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
60,818662,475012,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
61,818615,475012,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
62,818613,475012,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
63,818600,475012,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
64,832464,474927,车质网用户3095900,0,2小时前,OK
65,818773,474927,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
66,818689,474927,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
67,818666,474927,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
68,818662,474927,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
69,818615,474927,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
70,818613,474927,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
71,818600,474927,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
72,832464,474514,车质网用户3095900,0,2小时前,OK
73,818773,474514,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
74,818689,474514,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
75,818666,474514,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
76,818662,474514,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
77,818615,474514,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
78,818613,474514,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
79,818600,474514,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
80,832464,474427,车质网用户3095900,0,2小时前,OK
81,818773,474427,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
82,818689,474427,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
83,818666,474427,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
84,818662,474427,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
85,818615,474427,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
86,818613,474427,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
87,818600,474427,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
88,832464,474014,车质网用户3095900,0,2小时前,OK
89,818773,474014,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
90,818689,474014,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
91,818666,474014,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
92,818662,474014,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
93,818615,474014,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
94,818613,474014,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
95,818600,474014,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
96,832464,473925,车质网用户3095900,0,2小时前,OK
97,818773,473925,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
98,818689,473925,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
99,818666,473925,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
100,818662,473925,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
101,818615,473925,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
102,818613,473925,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
103,818600,473925,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
104,832464,473524,车质网用户3095900,0,2小时前,OK
105,818773,473524,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
106,818689,473524,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
107,818666,473524,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
108,818662,473524,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
109,818615,473524,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
110,818613,473524,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
111,818600,473524,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
112,832464,473436,车质网用户3095900,0,2小时前,OK
113,818773,473436,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
114,818689,473436,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
115,818666,473436,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
116,818662,473436,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
117,818615,473436,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
118,818613,473436,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
119,818600,473436,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
120,832464,473042,车质网用户3095900,0,2小时前,OK
121,818773,473042,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
122,818689,473042,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
123,818666,473042,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
124,818662,473042,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
125,818615,473042,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
126,818613,473042,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
127,818600,473042,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
128,832464,472952,车质网用户3095900,0,2小时前,OK
129,818773,472952,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
130,818689,472952,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
131,818666,472952,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
132,818662,472952,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
133,818615,472952,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
134,818613,472952,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
135,818600,472952,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
136,832464,472460,车质网用户3095900,0,2小时前,OK
137,818773,472460,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
138,818689,472460,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
139,818666,472460,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
140,818662,472460,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
141,818615,472460,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
142,818613,472460,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
143,818600,472460,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
144,832464,471974,车质网用户3095900,0,2小时前,OK
145,818773,471974,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
146,818689,471974,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
147,818666,471974,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
148,818662,471974,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
149,818615,471974,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
150,818613,471974,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
151,818600,471974,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
152,832464,470972,车质网用户3095900,0,2小时前,OK
153,818773,470972,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
154,818689,470972,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
155,818666,470972,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
156,818662,470972,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
157,818615,470972,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
158,818613,470972,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
159,818600,470972,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
160,832464,470881,车质网用户3095900,0,2小时前,OK
161,818773,470881,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
162,818689,470881,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
163,818666,470881,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
164,818662,470881,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
165,818615,470881,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
166,818613,470881,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
167,818600,470881,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
168,832464,470390,车质网用户3095900,0,2小时前,OK
169,818773,470390,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
170,818689,470390,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
171,818666,470390,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
172,818662,470390,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
173,818615,470390,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
174,818613,470390,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
175,818600,470390,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
176,832464,470080,车质网用户3095900,0,2小时前,OK
177,818773,470080,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
178,818689,470080,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
179,818666,470080,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
180,818662,470080,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
181,818615,470080,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
182,818613,470080,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
183,818600,470080,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
184,832464,469991,车质网用户3095900,0,2小时前,OK
185,818773,469991,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
186,818689,469991,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
187,818666,469991,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
188,818662,469991,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
189,818615,469991,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
190,818613,469991,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
191,818600,469991,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
192,832464,469579,车质网用户3095900,0,2小时前,OK
193,818773,469579,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
194,818689,469579,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
195,818666,469579,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
196,818662,469579,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
197,818615,469579,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
198,818613,469579,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
199,818600,469579,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
200,832464,469487,车质网用户3095900,0,2小时前,OK
201,818773,469487,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
202,818689,469487,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
203,818666,469487,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
204,818662,469487,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
205,818615,469487,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
206,818613,469487,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
207,818600,469487,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
208,832464,469083,车质网用户3095900,0,2小时前,OK
209,818773,469083,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
210,818689,469083,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
211,818666,469083,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
