,replyid,sourceid,content,authorid,author,supports,showTime
20,135534,161401,是高合的团队设计的吗？,224753,何某,0,2022-04-20 08:18:01
21,135535,161401,看到第5张图，心想…这不高合吗[汗],1891325,邦友3be52520,0,2022-04-20 08:12:45
22,135536,161401,与我无瓜[微笑],1891326,邦友6e2c9e3d,0,2022-04-20 08:06:26
23,135537,161401,高合既视感[发呆],1891327,邦友5c51af45,0,2022-04-20 08:05:15
24,135538,161401,长的像高合,1891328,邦友3e2997ea,0,2022-04-20 08:04:08
25,135539,161402,下次换车，争取我买得起。[破涕为笑],255777,朝三暮四,0,2022-04-20 18:44:00
26,135540,161402,有点丑，是我的审美偏差，还是…[擦汗][尴尬],1891313,邦友23be0559,0,2022-04-20 18:40:34
27,135541,161402,发现一个有趣的现象：同样的价格，车厢内的配置，电动车比同级别燃油车高的多！[发呆],263609,面壁十年,0,2022-04-20 15:20:55
28,135542,161402,说价格，我好死心,1891329,邦友0648dee3,0,2022-04-20 12:54:55
29,135454,161385,车型爱了，溜背，真帅[发呆][色],1889768,邦友2533ba4b,0,2022-04-18 18:55:18
30,135441,161385,我的绅宝据说也有后轮转向系统,288602,wonpon,0,2022-04-18 10:27:16
31,135443,161385,都没几个实体按键，不适合盲操作,227697,  无敌  超人,0,2022-04-18 09:11:38
32,135543,161399,我jio得这还蛮结实[旺柴],1891313,邦友23be0559,0,2022-04-20 18:41:33
33,135544,161399,楼上不对，运动座椅确实很多不太舒服，但是如果厂家针对性的设计一下，包裹感什么的，还是很舒服很安全的。,228125,村,0,2022-04-20 13:12:11
34,135545,161399,运动座椅又不舒适，为啥现在全都用这种[抠鼻],1891330,邦友a77f6a77,0,2022-04-20 12:36:07
35,135546,161399,我是穷人 我更关注续航[旺柴]20万左右的100度电的车快点来吧,254216,小胖手,0,2022-04-20 11:00:28
36,135502,161346,论新能源油箱比燃油车更大,270796,都市潜行,0,2022-04-20 04:08:34
37,135503,161346,我等腾势的大SUV,162453,mozhier,0,2022-04-19 23:38:35
38,135461,161346,老舅哪都好，就是聘礼有点贵,1891272,邦友755dd772,0,2022-04-19 16:32:29
39,135462,161346,不知道为什么，我个人是真不喜欢副驾有屏幕的[捂脸],257302,罗志鹏Brian,0,2022-04-19 13:33:03
40,135464,161346,说个笑话，2020年上市并发布第一款电动汽车，2022年自研发动机热效率40.5%，按这进度，2025年理想可以发布第一款星际战舰了！,208350,A@你若安好便是晴天,0,2022-04-19 13:04:01
41,135465,161346,"之前看过一篇文章，宝马5系是普通职场人的天花板，大概是这个内容。L9能否在这群人中获得存在感，拭目以待
",1891273,邦友b7886e85,0,2022-04-19 10:46:13
42,135466,161346,这是妥妥的全尺寸SUV好不啦！,275038,骅,0,2022-04-19 09:40:19
43,135467,161346,真正对手应该是唐,272824,John,0,2022-04-19 09:25:24
44,135468,161346,"L9一定会取得巨大的成功。
中国汽车品牌正在每一个细分领域赶超和超越外国品牌。",1891274,邦友ce78496f,0,2022-04-19 09:12:40
45,135469,161346,听说价格是45.8，特殊颜色＋1，然后轮毂升级+1。,252721,Mr.梁,0,2022-04-19 09:09:19
46,135470,161346,没有纯电吧？,1891275,邦友74c4b8aa,0,2022-04-19 08:35:26
47,135471,161346,必须收割，这配置，这质量，这口碑，不收割说明不懂车的还是多，不信任国产的多，再教育一下就行了。,252712,哆啦,0,2022-04-19 08:28:55
48,135473,161346,智能汽车的核心芯片如果不是国产的，以后在打智能战争的时候就是杀你的凶器,1891276,邦友ae47bcd5,0,2022-04-19 08:10:52
49,135474,161346,头太长了,274851,任欢喜,0,2022-04-19 08:10:03
50,135506,161389,能卖30我……,1889768,邦友2533ba4b,0,2022-04-19 19:03:47
51,135421,161303,BMW的新i3值得说说的,161577,THW,0,2022-04-17 01:27:07
52,135423,161303,最看好汉,1891230,邦友cd1119f9,0,2022-04-16 21:51:54
53,135380,161303,恒驰还上市吗？,252607,Anna,0,2022-04-16 14:49:03
54,135375,161303,真是服，某些国人对特斯拉的迷恋，怎么都抵挡不住，跪久了,279861,麒麟展示 Kylin Display,0,2022-04-15 21:46:45
55,135376,161303,从尺寸和售价看，一二款对标5系，三四五款对标3系，还差不多,279861,麒麟展示 Kylin Display,0,2022-04-15 21:45:54
56,135377,161303,眼花缭乱， 法拉第没赶上好时候,1891188,邦友7d7fcb6c,0,2022-04-15 21:26:24
57,135378,161303,和我一起大喊汉汉汉！,1889768,邦友2533ba4b,0,2022-04-15 19:11:32
58,135353,161303,比亚迪才是王道,1891178,邦友b8b4d86d,0,2022-04-15 13:30:38
59,135354,161303,买车不要买特斯拉，就这品牌不靠谱,1891179,邦友7715f362,0,2022-04-15 11:05:21
60,135355,161303,吉氪001的车机卡到死，用的还是16年发布的芯片,1891180,邦友2d1088fc,0,2022-04-15 09:35:59
61,135356,161303,智己L7的93度电池续航615，汉85度电池跑700多，是L7技术太差还是汉水分太大？,221483,陶朱沉鱼,0,2022-04-15 09:33:30
62,135357,161303,这是都是20万起的？,1891181,邦友2e2de395,0,2022-04-15 09:32:20
63,135358,161303,零跑不知所谓，机甲龙精神分裂……,221627,小米,0,2022-04-15 09:31:10
64,135359,161303,买车就买特斯拉，其他品牌不靠谱,1891182,邦友6624f880,0,2022-04-15 09:24:10
65,135360,161303,别的车没怎么开过，没有发言权。极氪001的空间，舒适性和操控绝对是全面超越5系，基本上能对标M5的旅行了,252604,华山,0,2022-04-15 09:05:54
66,135361,161303,应该干掉7系,258619,小阳,0,2022-04-15 09:00:43
67,135362,161303,讲真，奔驰最丑,1891183,邦友75c68985,0,2022-04-15 08:53:01
68,135363,161303,现在这些电动车的定价都已经很飘了。油车企业应该多参与进来搞搞革命了,1891184,邦友945f3523,0,2022-04-15 08:41:31
69,135364,161303,除了特斯拉，5年内不考虑换其他品牌,140450,虎归山,0,2022-04-15 08:10:22
70,135504,161384,是我的审美有问题么，我觉得这个好丑啊...,141385,cycymcy,0,2022-04-20 08:32:32
71,135505,161384,这种高级老头乐能有什么前途，就是用来混积分的。,216822,Dfy,0,2022-04-19 17:12:38
72,135499,161384,这个花里胡哨的外观其实不如红光讨喜,1891286,邦友c6bffe72,0,2022-04-19 09:55:04
73,135500,161384,上市时间价格都没有吗？,275038,骅,0,2022-04-19 09:45:14
74,135456,161379,赛力斯在我们隔壁办公，如有新车大厦地库可以第一时间看到[偷笑][得意],161220,UCA 崔宗阳,0,2022-04-18 20:05:36
75,135458,161379,把前脸改了，就变成了L9[旺柴][旺柴][旺柴],1889768,邦友2533ba4b,0,2022-04-18 18:56:10
76,135445,161379,好朴实的外观,1890880,邦友2d2c0611,0,2022-04-18 11:05:36
77,135446,161379,M5车长4770、轴距2880，M7车长5020、轴距才2820？？,222000,超人,0,2022-04-18 09:50:46
78,135448,161379,价格多少啊,263441,得分,0,2022-04-18 09:29:29
79,135453,161380,理想的车是上海提供的东西吗 ，如果是的，那估计卖不动[尴尬],1889768,邦友2533ba4b,0,2022-04-18 18:53:57
80,135434,161380,不应该是标配吗？都这个价格了！！,260629,磊,0,2022-04-18 10:45:50
81,135435,161380,电动踏板……我以为是脚蹬子没电的时候能蹬着走,283804,老李,0,2022-04-18 10:19:25
82,135437,161380,这前脸对年轻人友好了,1891245,邦友599ed602,0,2022-04-18 09:59:09
83,135439,161380,三元里电池,1891246,邦友aea8580a,0,2022-04-18 09:48:48
84,135459,161381,车型不错 ,1889768,邦友2533ba4b,0,2022-04-18 18:56:39
85,135395,161381,双电机版本功率居然比美国版的还大,1891208,RainMan,0,2022-04-17 20:29:48
86,135508,161377,坐等换脸20W王朝海洋军舰系列[坏笑],175840,A隔壁老王,0,2022-04-20 16:01:25
87,135476,161377,比亚迪夏？,1891277,邦友7a36840a,0,2022-04-19 19:55:45
88,135478,161377,据说定价四五十万[抠鼻][抠鼻],1891278,邦友38a13674,0,2022-04-19 17:19:16
89,135480,161377,喜欢，坐等两年后二手降价打骨折后购买,1891279,邦友9fea8ee0,0,2022-04-19 15:28:05
90,135482,161377,面包车，埃尔法是顶点，没车能超越,1891280,邦友20b65c2a,0,2022-04-19 14:31:27
91,135484,161377,赶紧出个轻客地盘，搞房车是正题。,1891281,邦友5201c9e6,0,2022-04-19 12:41:56
92,135485,161377,直播吃电池给个直播间链接,1891282,邦友752b4071,0,2022-04-19 12:17:16
93,135487,161377,有比亚迪技术加持的MPV堪称完美,257542,王锡钢,0,2022-04-19 09:06:56
94,135489,161377,不能说一毛一样[旺柴],1891283,邦友70ca71d4,0,2022-04-19 08:51:19
95,135490,161377,腾势很久没出新款了，感觉是个佛系品牌,1891284,邦友500eefe6,0,2022-04-19 08:31:40
96,135492,161377,以腾势一贯尿性，不管怎么增配，这车如果定价超过30w，能成我直播吃电池,191177,IT崔小哥,0,2022-04-19 08:13:30
97,135494,161377,目标价位100w[恐惧],1891285,邦友de2faea3,0,2022-04-19 08:10:07
98,135496,161377,比亚迪再拿回来改改前脸，变家用MPV，实在心水侧滑门[色],162222,Fraser飞杀,0,2022-04-19 08:06:45
99,135497,161377,MPV还是混动更有吸引力。,223345,Drsea,0,2022-04-19 08:06:40
100,135425,161377,比那个法好看多了，也先进多，不是一代时车。,270684,..华美工艺标牌13920488758,0,2022-04-18 22:46:48
101,135394,161377,好看,270684,..华美工艺标牌13920488758,0,2022-04-17 13:52:52
102,135393,161377,比那什么法好看多了，先进多了。,270684,..华美工艺标牌13920488758,0,2022-04-17 13:52:17
103,135419,161343,虽然看不懂，但是作者确实花了心思,1890727,邦友83fb5c8c,0,2022-04-17 20:33:27
104,135383,161343,讲的很通透，配合结构图上过物理课的基本都能懂,291763,韩伟,0,2022-04-16 12:05:34
105,135385,161343,技术越来越先进了！！,276231,筘仔,0,2022-04-16 11:30:58
106,135386,161343,厉害,1891202,邦友2cd5eacd,0,2022-04-16 10:49:08
107,135387,161343,国产车性价比远超外资，买外资车的真的是人傻钱多。我一看到开外资车的，又一个傻冒。,279234,张军,0,2022-04-16 10:39:10
108,135388,161343,生动形象，了解了！,279225,浣熊管家食材净化专家,0,2022-04-16 09:52:47
109,135389,161343,图解很棒[强],279861,麒麟展示 Kylin Display,0,2022-04-16 08:30:34
110,135401,161375,不得卖三十万啊[让我看看],261765,sorry坏先森,0,2022-04-17 12:18:00
111,135402,161375,如果比零跑c11更便宜，一定大卖,1891222,邦友62a7b9ad,0,2022-04-17 09:14:19
112,135403,161375,还要看看价格,1891223,邦友32025827,0,2022-04-17 09:12:23
113,135404,161375,第一眼还以为是路虎………………………[擦汗][汗][翻白眼][旺柴]  ,1891218,邦友5843c793,0,2022-04-17 09:07:05
114,135417,161371,不得不说 高合长在了我的审美上 美的一塌糊涂,1891229,邦友81f4ca04,0,2022-04-17 21:09:42
115,135406,161371,不得不说这个车企低调效率也很高，我记得发布这款车是没多久的事，这就马上有线上生产的消息了,253742,茄知排条,0,2022-04-17 10:32:10
116,135407,161371,百万级别的国产车，虽然不理解，但是还有一定的期待的。,228125,村,0,2022-04-17 09:50:53
117,135408,161371,雨我无瓜，没钱，我飘了[皱眉][苦涩][叹气][Emm],1891218,邦友5843c793,0,2022-04-17 09:05:24
118,135391,161363,发光的猪鼻,261556,願望樹,0,2022-04-16 10:29:59
119,135392,161363,帅 ,279861,麒麟展示 Kylin Display,0,2022-04-16 08:28:57
120,135409,161362,兰博基安[得意],140847,周少,0,2022-04-16 17:16:53
121,135410,161362,长安新能源在国产新能源品牌排行榜中拍第四五名！,138034,如实正观,0,2022-04-16 15:13:43
122,135411,161362,不愧是对标特斯拉的！香！！,1891224,邦友55bdc89a,0,2022-04-16 11:31:23
123,135412,161362,长安现在的设计真不是盖的。,1891225,邦友58e7752c,0,2022-04-16 09:18:55
124,135413,161362,前脸像特斯拉和领克[发呆],263457,怼卟起，硪想妳,0,2022-04-16 08:21:36
125,135369,161361,老牌车企稍微发力一下还会给这帮新势力们留活路吗。老牌车企果然还是有底蕴的。,1891186,邦友9c07bd3f,0,2022-04-15 09:41:53
126,135379,161361,还挺像零跑S01[偷笑],255438,刘逊-14nce,0,2022-04-15 09:26:07
127,135370,161361,妈呀，1008公里，这才从深圳到我湖南老家。他已经出了几个国了。[憨笑],255084,王育松,0,2022-04-15 09:15:18
128,135371,161361,能不能从中国开到中国[奸笑],1891187,邦友859cd2b7,0,2022-04-15 08:33:38
129,135372,161361,充一次电，不要求跨国，你可以从北京来到乌鲁木齐吗？,252790,徐鹏,0,2022-04-15 08:31:51
130,135373,161361,这个车头设计，怎么觉得借鉴了比亚迪汉呢？太明显了。,140600,蜗牛,0,2022-04-15 08:25:34
131,135374,161361,99%的可能是开了一个试验品……极端轻量化.....否则难以置信。因为即使技术最好的特斯拉，电耗也要11左右……[捂脸][捂脸],140450,虎归山,0,2022-04-15 08:12:09
132,135365,161355,这形势你就是降7000-22500也卖不出去,213704,小黑,0,2022-04-15 10:58:52
133,135366,161355,涨价 这车就无了,1891185,邦友3b165cb8,0,2022-04-15 10:55:45
134,135367,161355,销量排行榜上没看见这款车啊，涨价降价影响不大,227699,弱水之海,0,2022-04-15 10:53:33
135,135368,161355,涨完再打折？,260525,缘来如此,0,2022-04-15 09:09:06
136,135352,161354,真能吹啊，电动车没有自己的平台永远成不了气候，油改电该被淘汰了,137881,上善若水,0,2022-04-14 21:01:31
137,135347,161354,希望长安汽车股价能争点气,1891156,邦友cb9cf5bf,0,2022-04-14 12:35:38
138,135348,161354,我的长安奔奔干嘛还没看开始生产,1891160,邦友045c62c4,0,2022-04-14 09:19:39
139,135349,161354,再快也要在高速等[旺柴],264968,Truecloud,0,2022-04-14 08:08:28
140,135350,161354,看看c385价格如何,252626,熊猫はっし,0,2022-04-14 08:05:54
141,135351,161354,车海战术,226309,张珂,0,2022-04-14 08:05:07
142,135326,161341,这外观很能打啊,281867,一丁,0,2022-04-13 08:17:54
143,135328,161341,比亚迪yyds,246693,张久银_JoaninZ,0,2022-04-13 08:04:23
144,135320,161342,不买美国垃圾货[得意],1891125,邦友a1622cca,0,2022-04-13 23:25:36
145,135321,161342,多少钱一台,1891126,邦友8ab7ad75,0,2022-04-13 16:17:25
146,135323,161342,光速,252626,熊猫はっし,0,2022-04-13 09:54:41
147,135324,161342,兰博基尼：得了，惹不起躲得起，我回老家去继续造拖拉机还不行吗？,263609,面壁十年,0,2022-04-13 08:57:35
148,135325,161342,2.1s是最低配，高配是1.2 ,181855,网友6578,0,2022-04-13 08:15:46
149,135382,161345,为什么很多人对混动不看好，当然是因为现在油价高啊，你不要老看比亚迪混动宣传什么百公里1升油，那是有电的时候，关键是现在买混动的有几个每天充电就为了跑50公里可以省钱，大多数都是当油车开的，就算现在混动馈电百公里能跑4-5升油，按现在的价格那也4毛多了，比油车也没省多少了，你买个比亚迪混动，最便宜的秦，低配买不到，高配下来至少得14，5万吧，这个价位已经能上合资车了，对于那些本来就不爱开电车，懒得折腾，就是为了省油看混动的人来说吸引力就不大了，对于那些对电动车感兴趣的不怕折腾的，干嘛不直接上纯电，费用低多了，混动确实满足了一部分人的需求，但终究只是一个过度方案，以后油只会越来越贵，现在9块大家还能坚持，等涨到19块就有一大半人要换电车，稀缺资源你还期望他以后降价么？,156959,绯雨流晴,0,2022-04-14 00:35:32
150,135299,161345,早买早享受，晚买加价购,227695,林大勋,0,2022-04-13 21:06:43
151,135300,161345,特斯拉卖得越多，只能说明崇洋媚外还是很多人的选择。,1891117,邦友c80aca88,0,2022-04-13 20:45:57
152,135302,161345,北汽新能源真是无影无踪了,272776,郭King,0,2022-04-13 19:19:26
153,135303,161345,我的极狐呢[大哭],1891118,邦友8158ca81,0,2022-04-13 17:56:31
154,135304,161345,[微笑] 特斯拉终于活成第二个苹果，其他家终于成为安卓。小米汽车进场后，安卓VS苹果提速。苹果造车已经成冷笑话。但是这领域还没出现安卓领域的三星，也就是暂时没有企业可以完全对标特斯拉，主要原因是国内汽车在海外没啥销量基本，预测日本，韩国，德国后续会弯道超车。,262584,R洋洋洋,0,2022-04-13 17:35:27
155,135305,161345,"看好搅局者小米汽车，10万左右，WLTP续航能达到600km，未来可期！坐等量产！！！
奥利给！！！",1891119,邦友df12d92a,0,2022-04-13 15:20:19
156,135307,161345,全场景真实续航600公里左右，售价在3万人民币以内的电动车会是市场的王者。,1891120,邦友984312bc,0,2022-04-13 12:59:49
157,135308,161345,并非黑子，但真的不愿意看到一家独大，那将代表垄断的开始。,233183,从零开始,0,2022-04-13 10:20:29
158,135309,161345,特斯拉的车型不看好，可能是我心老了[微笑],1891121,邦友6fc0a613,0,2022-04-13 09:50:59
159,135311,161345,特斯拉对标苹果简约美？其实特斯拉最大的好处是不用洗车,259071,黑天鹅,0,2022-04-13 08:33:41
160,135312,161345,我一直坚信比亚迪插电式混动的路子是对的，不知道为啥被很多人视为鸡肋的过渡产品。,1891122,邦友f5985e90,0,2022-04-13 08:24:00
161,135313,161345,从性价比而言，奇瑞冰淇淋比五菱迷你更好。,1891123,邦友da18cc32,0,2022-04-13 08:17:31
162,135315,161345,看好比亚迪和华为汽车,257542,王锡钢,0,2022-04-13 08:13:46
163,135316,161345,华为就该自己造车 总想脚踏N只船 不现实,192951,David,0,2022-04-13 08:11:07
164,135317,161345,真的还有人在买特斯拉吗..........,1891124,邦友dc057101,0,2022-04-13 08:07:31
165,135319,161345,不得不服，中国人买特斯拉的心,190669,林杰,0,2022-04-13 08:07:06
166,135338,161340,玩的早有什么用？就像股票进出讲究时间恰当才行。,254411,Johnny,0,2022-04-14 17:02:12
167,135339,161340,说实话，我们还是没有弯道超车，我们只是复活了上世纪被闲置的产品,1891156,邦友cb9cf5bf,0,2022-04-14 12:40:09
168,135340,161340,一说无仪表盘设计，第一个想到的就是俺家的拖拉机[破涕为笑],1891157,邦友c22c6de9,0,2022-04-14 11:48:03
169,135341,161340,奥特能平台，很多无线通讯，大幅减少线束,227697,  无敌  超人,0,2022-04-14 11:22:07
170,135342,161340,别说110年前的，就说十年前的电车也落伍了，电车的性能自从特斯拉出来以后才真正有了质的飞跃,252604,华山,0,2022-04-14 11:20:20
171,135343,161340,看完这个要是还有人觉得马斯克是技术大神的话，我也是无话可说[微笑],236125,G文杰,0,2022-04-14 10:41:37
172,135344,161340,当年中国第一辆新能源“众泰”也是横空出世，失望而归,1891158,邦友18ea5eb6,0,2022-04-14 09:25:51
173,135345,161340,卡迪拉克的车真的是太好看了,193087,彬兴,0,2022-04-14 08:07:28
174,135346,161340,牛批,1891159,邦友38b4dba4,0,2022-04-14 08:07:23
175,135295,161335,价格呢？2万么？不然有啥竞争优势,284255,学长,0,2022-04-12 08:22:42
176,135381,161295,ⅠD大众有品味，等什么国内车企干些人民的事，对国家做点贡献好不，让面包微面有希望是前途，看中国元首都乘用面包车啦！,113414,雪中梅,0,2022-04-15 08:49:35
177,135240,161295,潮流就是一个圆圈，嗽叭裤是时候重出江湖了[捂脸],1891030,邦友198e6f13,0,2022-04-10 16:08:12
178,135242,161295,要是有厂家能复刻电动化的回到未来电影里那款Delorean DMC-12就帅爆了,225166,思维广与欢乐多,0,2022-04-10 14:18:47
179,135243,161295,从经典到现代，从现代到经典，老爷车电版,161389,新疆特产,0,2022-04-10 12:30:39
180,135245,161295,1.2.4有什么大区别吗[呲牙],231798,⃔ 爱因斯不太舒坦 ⃕,0,2022-04-10 12:29:02
181,135247,161295,不用看了，就ID.BUZZ还看得过去，其他太草率了[破涕为笑],1891031,邦友3a647bc5,0,2022-04-10 11:54:54
182,135248,161295,欧拉朋克猫真好看,252681,马壮,0,2022-04-10 11:43:21
183,135249,161295,都是我搞不起的样子。。。。,282373,机车大魔王,0,2022-04-10 11:42:01
184,135251,161295,很喜欢ID BUS,1891032,邦友678c148e,0,2022-04-10 10:59:03
185,135252,161295,圆梦和闪电猫看起来还不错呢,1891033,邦友d1b37eb1,0,2022-04-10 10:47:41
186,135253,161295,当电动代替燃油成为主流，所有的油车经典款式都值得重新做一遍。这或许是一种宿命轮回。,1891034,邦友f57ada88,0,2022-04-10 10:46:28
187,135254,161295,朋克猫,138336,风林火山,0,2022-04-10 10:43:29
188,135255,161295,大众ID.BUZZ最帅，现代这桑塔纳是认真的吗,1891035,邦友d03b25f9,0,2022-04-10 10:40:01
189,135256,161295,松散对开门设计不错，其余实用性一般,280969,李洪朋,0,2022-04-10 10:39:37
190,135257,161295,越出越返古,160713,DaYan,0,2022-04-10 10:37:00
191,135258,161295,大众id 最好看，实用，不接受反驳,259621,路漫漫其修远兮,0,2022-04-10 10:36:08
192,135166,161295,个个都是经典！个个都很复古！！,276231,筘仔,0,2022-04-07 16:31:14
193,135260,161312,什么时候出第二集？,1891036,邦友25231ebf,0,2022-04-10 11:36:26
194,135262,161312,太复杂，看不懂。直接说省油不就可以了,270870,大叔。,0,2022-04-09 13:12:32
195,135264,161312,搞快点，我还等着用呢。,259783,葛臻哲,0,2022-04-09 10:46:30
196,135268,161321,千山翠限量版，帅气,1891055,邦友4dfb0886,0,2022-04-11 20:31:19
197,135269,161321,座椅改了这款真好看! 尾灯也很时尚! 唯独与年轻化不打半毛钱奸系~[破涕为笑][捂脸],1891056,邦友22dcf114,0,2022-04-11 16:25:03
198,135270,161321,科技以换色为本[偷笑]主要是领先太多了，别人还没追上，先摸会鱼,162222,Fraser飞杀,0,2022-04-11 12:57:14
199,135271,161321,加长15㎜，如果能从视觉上感觉变化明显的话，那小编的眼睛跟王濛是一样的了，,1891057,邦友38c4d0a9,0,2022-04-11 11:17:41
200,135273,161321,有品肯定dmp没钱dmi,1891058,邦友51f97cef,0,2022-04-11 10:27:10
201,135239,161321,价格直逼我心里防线了,255535,口天雨林林雨林林,0,2022-04-11 10:08:38
202,135274,161321,我不理解的是，倒车后视镜下翻这种刚需功能居然不是全系标配，哪怕dmi顶配都没有，必须dmp才有,260310,L,0,2022-04-11 09:38:34
203,135275,161321,EV版居然没改款而是来了个创世版。。建议出个2022款改款汉ev，价格维持21万,263525,黑米高₲,0,2022-04-11 09:03:14
204,135276,161321,绿色真好看 可惜限量版。。,260365,我素熊猫,0,2022-04-11 08:41:32
205,135277,161321,性能与续航兼备！奈何预算不足！不然绝对要入手一台！！[发呆],1891059,邦友4935fc81,0,2022-04-11 08:34:22
206,135278,161321,买，大卖,1891060,邦友9838edf6,0,2022-04-11 08:25:40
207,135279,161321,老dm(p)虽然没有刀片电池，没有热泵空调，没有5G车机，纯电只有80km[旺柴]但是有4秒7加速，四驱才22起。感觉和今年的真dmp对比之下，性价比也是很高,1891061,邦友a6b11327,0,2022-04-11 08:19:53
208,135280,161321,划重点，续航700+的铁锂纯电车[色],236125,G文杰,0,2022-04-11 08:16:58
209,135281,161321,期待宋的进化版,224752,胡,0,2022-04-11 08:14:06
210,135296,161329,车子马上要跟app一样，天天提醒你升级了,1891098,邦友347dbb3d,0,2022-04-12 18:41:25
211,135286,161329,我朋友老爸快60了，路虎换蔚来,1891064,邦友0f48e409,0,2022-04-11 20:25:17
212,135288,161329,涨一万，相对于蔚来本来的车价和友商的涨价幅度，似乎算是比较温柔了。,255530,Brian 劍,0,2022-04-11 15:12:02
213,135290,161329,再不割韭菜，韭菜就没了。问题是未来也不想想，高昂的售价，能接受、愿意接受的群体到底有多大！[捂脸][捂脸][捂脸],1891065,邦友dba9b9c1,0,2022-04-11 15:10:05
214,135291,161329,此前李斌不是说蔚来不会涨价吗？又打脸了,1891066,邦友6e7ede2c,0,2022-04-11 09:45:49
215,135219,161323,贵了,1891023,邦友31a3e626,0,2022-04-10 07:40:20
216,135220,161323,都接近7万了，还是零跑T03性价比高，空间和续航都更好。,281631,Mr. Chow,0,2022-04-09 14:35:16
217,135222,161323,我觉得这个价格不如欧拉的黑猫白猫,282449,椰子快递服务中心京东快递[寄件],0,2022-04-09 12:47:48
218,135223,161323,爆款,1891024,邦友da20d01e,0,2022-04-09 11:52:09
219,135224,161323,男女款都齐了，价格区间也齐了,267713,……,0,2022-04-09 11:43:58
220,135225,161323,这车又会成为爆款！其它车厂又模仿了！！,1891025,邦友9abd1639,0,2022-04-09 10:29:57
221,135226,161323,我的s01才是街头小霸王,125600,铭人,0,2022-04-09 10:29:52
222,135228,161323,好看又实惠，赞 ,1891026,邦友ce8e6f3c,0,2022-04-09 10:13:59
223,135217,161323,要是在几个月以前这个还真有可能会是我的菜！不过我现在有牛了！！[坏笑],276231,筘仔,0,2022-04-09 09:39:05
224,135229,161323,已经下单玩咖顶配，零首付贷款36期，月供2千出头，我觉得年轻人买来代步（玩）还是可以的[色],1891027,邦友19961cc8,0,2022-04-09 09:09:30
225,135231,161323,膨胀了膨胀了,252767,　Edward,0,2022-04-09 08:52:45
226,135232,161323,这个价我为啥不零跑t03?,283806,徐朴素,0,2022-04-09 08:45:54
227,135233,161323,这个价位比亚迪e1有5座,227404,A0涂靓,0,2022-04-09 08:43:35
228,135234,161323,心动了,281004,唐唐晓晓,0,2022-04-09 08:38:41
229,135236,161323,这外形确实好看呀,281633,平平,0,2022-04-09 08:30:43
230,135237,161323,女人的钱好挣,138100,进击吧！小妖,0,2022-04-09 08:29:10
231,135216,161324,设计师路边找的？,121619,邦友ac1d4b66,0,2022-04-11 07:47:01
232,135282,161325,这是隐身的吧,1891062,邦友1cd35e2d,0,2022-04-11 12:08:34
233,135283,161325,好家伙图纸成本都要省一把,1891063,邦友a33d9417,0,2022-04-11 10:45:50
234,135284,161325,Rivian 我认为很更好看。,260637,核桃村联席会议发言人(Ji YongJie),0,2022-04-11 08:15:21
235,135285,161325,特斯拉的每一个设计都是为了节约成本。。。,254561,ThornApple,0,2022-04-11 08:06:38
